Current projects as at 31 March 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring Authority,Sector,Region,Project Status,Date of OJEU,Date of Prefered Bidder,Date of Financial Close,Date of Construction Completion,First Date of Operations,Operational Period of Contract (years),On/Off Balance Sheet under IFRS,On/Off Balance Sheet under ESA ,On/Off Balance Sheet under UK GAAP,Capital Value (£m),Unitary Charge Payment 1992-93 (£m),Unitary Charge Payment 1993-94 (£m),Unitary Charge Payment 1994-95 (£m),Unitary Charge Payment 1995-96 (£m),Unitary Charge Payment 1996-97 (£m),Unitary Charge Payment 1997-98 (£m),Unitary Charge Payment 1998-99 (£m),Unitary Charge Payment 1999-00 (£m),Unitary Charge Payment 2000-01 (£m),Unitary Charge Payment 2001-02 (£m),Unitary Charge Payment 2002-03 (£m),Unitary Charge Payment 2003-04 (£m),Unitary Charge Payment 2004-05 (£m),Unitary Charge Payment 2005-06 (£m),Unitary Charge Payment 2006-07 (£m),Unitary Charge Payment 2007-08 (£m),Unitary Charge Payment 2008-09 (£m),Unitary Charge Payment 2009-10 (£m),Unitary Charge Payment 2010-11 (£m),Unitary Charge Payment 2011-12 (£m),Unitary Charge Payment 2012-13 (£m),Unitary Charge Payment 2013-14 (£m),Unitary Charge Payment 2014-15 (£m), Unitary Charge Payment 2015-16 (£m),Estimated Unitary Charge Payment 2016-17 (£m),Estimated Unitary Charge Payment 2017-18 (£m),Estimated Unitary Charge Payment 2018-19 (£m),Estimated Unitary Charge Payment 2019-20 (£m),Estimated Unitary Charge Payment 2020-21 (£m),Estimated Unitary Charge Payment 2021-22 (£m),Estimated Unitary Charge Payment 2022-23 (£m),Estimated Unitary Charge Payment 2023-24 (£m),Estimated Unitary Charge Payment 2024-25 (£m),Estimated Unitary Charge Payment 2025-26 (£m),Estimated Unitary Charge Payment 2026-27 (£m),Estimated Unitary Charge Payment 2027-28 (£m),Estimated Unitary Charge Payment 2028-29 (£m),Estimated Unitary Charge Payment 2029-30 (£m),Estimated Unitary Charge Payment 2030-31 (£m),Estimated Unitary Charge Payment 2031-32 (£m),Estimated Unitary Charge Payment 2032-33 (£m),Estimated Unitary Charge Payment 2033-34 (£m),Estimated Unitary Charge Payment 2034-35 (£m),Estimated Unitary Charge Payment 2035-36 (£m),Estimated Unitary Charge Payment 2036-37 (£m),Estimated Unitary Charge Payment 2037-38 (£m),Estimated Unitary Charge Payment 2038-39 (£m),Estimated Unitary Charge Payment 2039-40 (£m),Estimated Unitary Charge Payment 2040-41 (£m),Estimated Unitary Charge Payment 2041-42 (£m),Estimated Unitary Charge Payment 2042-43 (£m),Estimated Unitary Charge Payment 2043-44 (£m),Estimated Unitary Charge Payment 2044-45 (£m),Estimated Unitary Charge Payment 2045-46 (£m),Estimated Unitary Charge Payment 2046-47 (£m),Estimated Unitary Charge Payment 2047-48 (£m),Estimated Unitary Charge Payment 2048-49 (£m),Estimated Unitary Charge Payment 2049-50 (£m),Estimated Unitary Charge Payment 2050-51 (£m),Estimated Unitary Charge Payment 2051-52 (£m),Estimated Unitary Charge Payment 2052-53 (£m),Estimated Unitary Charge Payment 2053-54 (£m),Estimated Unitary Charge Payment 2054-55 (£m),Estimated Unitary Charge Payment 2055-56 (£m),Estimated Unitary Charge Payment 2056-57 (£m),Estimated Unitary Charge Payment 2057-58 (£m),Estimated Unitary Charge Payment 2058-59 (£m),Estimated Unitary Charge Payment 2059-60 (£m),Equity Holder 1: Name,Equity Holder 1: Equity Share (%),Equity Holder 2: Name,Equity Holder 2: Equity Share (%),Equity Holder 3: Name,Equity Holder 3: Equity Share (%),Equity Holder 4: Name,Equity Holder 4: Equity Share (%),Equity Holder 5: Name,Equity Holder 5: Equity Share (%),Equity Holder 6: Name,Equity Holder 6: Equity Share (%) ,SPV Name,SPV Company Number,SPV Address
149,Civic Centre Office Accommodation,Department for Communities and Local Government,Trafford,Offices,ENGLAND_North West,InOperation,12-01-2000,Data not provided,28-03-2002,30-09-2003,01-10-2003,26,ON,OFF,OFF,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cofatech Sale PFI Ltd,100.0,,,,,,,,,,,Cofatech Sale PFI Ltd,4382404,46 Loman St London SE1 0BA
151,Divisional HQ and two fire stations,Home Office ,Lancashire Fire and Rescue Service,Emergency Services,ENGLAND_North West,InOperation,31-03-2000,30-11-2001,31-05-2002,14-04-2003,01-04-2003,28,ON,OFF,OFF,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carden Croft & Co Ltd,100.0,,,,,,,,,,,Pff Lancashire ltd,3866206,"c/o Howsons, 50 Broad Street , Leek, Staffordshire, ST13 5NS"
153,Islington Street Properties I,Department for Communities and Local Government,Islington,Housing (HRA),ENGLAND_London,InOperation,12-05-2000,01-09-2002,01-03-2003,01-04-2009,12-05-2003,30,ON,ON,OFF,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,6.5,7.1,7.6,8.7,9.7,9.9,10.1,10.4,10.6,10.8,11.1,11.3,11.6,11.9,12.1,12.4,12.7,13.0,13.3,13.6,13.9,14.2,14.5,14.8,15.2,15.5,15.9,16.2,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Palio Ltd,45.0,Bank of Scotland Infrastructure (No.3) Ltd,45.0,Hyde Housing Association Ltd,10.0,,,,,,,Partners for Improvement in Islington,4628357,4-6 Colebrook Place
154,A6 Plymouth Grove / Ardwick HRA,Department for Communities and Local Government,Manchester,Housing (HRA),ENGLAND_North West,InOperation,01-11-1999,01-01-2002,01-03-2003,01-08-2008,01-08-2008,30,ON,Data not provided,OFF,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.2,2.4,3.8,4.9,4.7,4.5,4.6,5.7,4.8,4.9,5.0,5.0,5.1,5.2,5.3,5.5,5.6,5.8,6.0,6.1,6.3,6.5,6.7,6.9,7.1,7.3,7.5,7.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MJ Gleeson,48.0,Nationwide Building Society,26.0,Manchester and District Housing Association,26.0,,,,,,,Grove Village Ltd,4627055,Suite 509
155,New HQ,Home Office ,Tyne and Wear Fire and Rescue Service,Emergency Services,ENGLAND_North East,InOperation,01-05-2001,18-11-2002,28-03-2003,10-03-2006,21-12-2004,24,ON,OFF,OFF,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,3.6,3.7,3.7,4.1,4.2,4.4,4.5,4.6,4.7,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.8,5.9,6.0,6.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HICL,100.0,,,,,,,,,,,T&W Accommodation Services Ltd,4614055,"TWASL, 2nd Floor, 11 Thistle Street, Edinburgh, EH2 1DF"
157,Selby,Department for Communities and Local Government,Selby,Housing (Non-HRA),ENGLAND_Yorkshire and the Humber,InOperation,01-04-2003,Data not provided,01-03-2004,31-03-2009,07-03-2005,31,OFF,OFF,OFF,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Yorkshire Housing Association Limited,100.0,,,,,,,,,,,South Yorkshire Housing Association Ltd,20165R,Data not provided
158,PFI Nursing Homes (Farm Lane),Department of Health ,Hammersmith and Fulham,Social Care,ENGLAND_London,InOperation,01-07-2001,Data not provided,31-03-2004,30-06-2005,01-07-2005,25,ON,Data not provided,OFF,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.0,2.1,2.2,2.2,2.2,2.4,2.5,2.6,2.8,2.4,2.4,2.4,2.5,2.5,5.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Care UK Community Partnerships.,100.0,,,,,,,,,,,Data not provided,Data not provided,Data not provided
159,Reading North Whitley,Department for Communities and Local Government,Reading,Housing (HRA),ENGLAND_South East,InOperation,01-10-2000,01-05-2003,31-03-2004,31-05-2008,14-05-2004,30,ON,OFF,OFF,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southern Housing,50.0,Windsor Housing,50.0,,,,,,,,,Affinity(Reading) Ltd,4851134,Unit 2 Woodside Business Park
160,Kenton & Walker Joint Service Centres (LIFT project),Department for Communities and Local Government,Newcastle upon Tyne,Offices,ENGLAND_North East,InOperation,Data not provided,Data not provided,11-05-2004,22-08-2005,03-10-2005,25,ON,OFF,OFF,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RobertsonsCapital projects Ltd,60.0,Community Health Partnerships,20.0,Newcastle City Council,5.0,Newcastle PCT,9.0,North Tyneside PCT,6.0,,,NNT LIFTCo,4934390,Data not provided
161,Warrington Phase 1: Anson & Blenheim          Phase 2: John Morris House,Department for Communities and Local Government,Warrington,Housing (Non-HRA),ENGLAND_North West,InOperation,01-10-2002,01-08-2003,27-09-2004,27-03-2007,27-09-2004,33,ON,OFF,OFF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Your Housing Group,100.0,,,,,,,,,,,Your Housing Group Ltd,17704R,602 Aston Avenue Birchwood Warrington WA3 6ZN
162,Bentilee Joint Service Centre,Department for Communities and Local Government,Stoke-on-Trent,Offices,ENGLAND_West Midlands,InOperation,06-03-2002,20-11-2003,24-02-2005,31-01-2007,01-02-2007,25,ON,Data not provided,Data not provided,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.2,2.2,2.1,2.1,2.1,2.2,2.3,2.2,2.1,2.2,2.4,2.6,2.4,2.2,2.0,2.1,2.1,2.1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John Laing Investments Ltd,100.0,,,,,,,,,,,Regenter Bentilee District Centre Limited.,5073953,One Kingsway
163,Leeds Swarcliffe Social Housing,Department for Communities and Local Government,Leeds,Housing (HRA),ENGLAND_Yorkshire and the Humber,InOperation,01-01-2000,27-08-2003,31-03-2005,01-04-2012,01-04-2012,30,ON,OFF,OFF,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.8,5.7,7.1,8.0,8.4,8.5,8.5,8.3,8.4,8.7,8.7,8.8,8.9,9.1,9.2,9.4,9.5,9.7,9.9,10.0,10.2,10.4,10.6,10.8,11.0,11.2,11.4,11.6,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIF,34.0,Yorkshire Housing Association,33.0,HBOS,33.0,,,,,,,Yorkshire Transformations Ltd,4768921,24 Birch St
164,NewhamCanning Town,Department for Communities and Local Government,Newham,Housing (HRA),ENGLAND_London,InOperation,01-06-2000,01-06-2003,03-06-2005,01-04-2009,01-04-2009,31,ON,ON,OFF,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.6,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.8,5.8,5.9,6.1,6.2,6.3,6.4,6.5,6.7,6.8,6.9,7.1,7.2,7.4,7.5,7.7,7.8,8.0,8.1,7.1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John Laing Infrastructure Fund,100.0,,,,,,,,,,,Regenter,4401853,1 Kingsway
165,Clifton & Hyson Green JSC (LIFT project),Department for Communities and Local Government,Nottingham,Offices,ENGLAND_East Midlands,InOperation,23-12-2002,Data not provided,24-11-2005,31-01-2006,01-02-2006,28,ON,OFF,OFF,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Community Solutions Ltd,60.0,Community Health Partnerships (formerly Partnerships for Health),20.0,Nottingham City Council,4.0,NHS Nottingham City,4.0,NHS Nottinghamshire,12.0,,,Greater Nottingham LIFT Project Company (No1) Ltd,4729043,"Unit H6, Ash Tree Court,Nottingham Business Park,Mellors Way, Nottingham NG8 6PY"
166,Streatham Joint Service Centre (LIFT project),Department for Communities and Local Government,Lambeth,Offices,ENGLAND_London,InOperation,Data not provided,Data not provided,06-12-2005,Data not provided,01-10-2007,25,OFF,OFF,OFF,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Data not provided,0.0,Data not provided,0.0,,,,,,,,,Data not provided,Data not provided,Data not provided
167,Coventry New Homes  for Old,Department for Communities and Local Government,Coventry,Housing (Non-HRA),ENGLAND_West Midlands,InOperation,18-03-2003,01-12-2004,01-03-2006,01-01-2008,18-06-2007,25,ON,Data not provided,OFF,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5.7,5.9,6.0,6.3,6.4,6.5,6.6,6.7,7.2,7.4,7.7,7.9,8.2,8.4,8.7,9.0,9.3,9.6,9.9,10.2,10.5,10.9,11.2,11.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anchor Trust (corporately financed scheme),100.0,,,,,,,,,,,Data not provided,Data not provided,Data not provided
168,Sandwell Hawthorn Fields,Department for Communities and Local Government,Sandwell,Housing (HRA),ENGLAND_West Midlands,InOperation,01-07-1999,13-10-2003,01-03-2006,31-03-2011,01-04-2011,26,ON,Data not provided,OFF,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,5.7,6.2,6.8,7.3,7.3,8.0,8.2,8.3,8.4,8.5,8.7,8.8,9.0,9.1,9.3,9.4,9.6,9.7,9.9,10.1,10.3,10.4,10.6,5.9,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riverside Housing Association,100.0,,,,,,,,,,,Riverside,30938R,2 Estuary Boulevard
169,Camden Chalcots Estate,Department for Communities and Local Government,Camden,Housing (HRA),ENGLAND_London,InOperation,10-11-2000,01-01-2006,02-05-2006,01-04-2010,01-04-2010,15,ON,Data not provided,OFF,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,7.3,8.5,9.6,9.9,10.1,10.2,10.4,10.4,10.5,10.5,10.6,10.7,10.8,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lloyds Banking Group,50.0,John Laing Infrastructure Fund,50.0,,,,,,,,,Partners For Improvement In Camden Ltd,4200933,United House Goldsel Road Swanley
170,Islington Street Properties II,Department for Communities and Local Government,Islington,Housing (HRA),ENGLAND_London,InOperation,25-01-2002,28-01-2002,15-09-2006,31-08-2012,21-09-2006,16,ON,ON,OFF,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,19.3,21.3,23.0,25.0,26.8,27.8,28.1,28.5,28.9,29.3,29.7,30.1,30.6,31.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Palio Ltd,45.0,Bank of Scotland Infrastructure (No.3) Ltd,45.0,Hyde Housing Association Ltd,10.0,,,,,,,Partners for Improvement in Islington 2,5884160,4-6 Colebrook Place
171,Merlyn Vaz Centre (LIFT project - formerly Charnwood JSC),Department for Communities and Local Government,Leicester,Offices,ENGLAND_East Midlands,InOperation,29-10-2002,Data not provided,29-09-2006,08-11-2008,08-01-2009,26,OFF,Data not provided,OFF,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Primary Plus Holdings Ltd (Equitix),60.0,Community Health Partnerships (formerly Partnerships for Health),40.0,,,,,,,,,Leicester LIFT Project Company Number 1 Litmied,4925162,"Kent House,14-17 Market Place, London, W1W 8AJ"
172,Oldham Sheltered Housing PFI,Department for Communities and Local Government,Oldham,Housing (HRA),ENGLAND_North West,InOperation,02-07-2002,02-09-2004,20-10-2006,01-04-2014,20-10-2006,30,ON,OFF,OFF,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,8.0,9.7,11.4,12.7,13.3,13.4,13.6,13.8,14.3,14.3,14.5,14.7,14.9,15.2,15.4,15.7,15.9,16.2,16.4,16.7,16.9,17.2,17.4,17.7,18.0,18.3,18.5,18.8,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Housing 21,100.0,,,,,,,,,,,Oldham Retirement Housing Partnership,IP30037R,The Triangle
173,Gosforth Joint Service Centre (LIFT project),Department for Communities and Local Government,Newcastle upon Tyne,Offices,ENGLAND_North East,InOperation,Data not provided,Data not provided,27-11-2006,17-11-2007,17-12-2007,24,ON,OFF,OFF,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dalmore Capital Fund LP,60.0,Community Health Partnerships (formerly Partnerships for Health),27.4,North Tyneside Council,6.8,Newcastle City Council,5.8,,,,,NNT LIFTCo,4934390,Data not provided
174,Dudley & Shiremoor Joint Service Centres (LIFT project),Department for Communities and Local Government,North Tyneside,Offices,ENGLAND_North East,InOperation,Data not provided,Data not provided,27-11-2006,17-09-2007,11-02-2008,26,ON,OFF,OFF,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dalmore Capital Fund LP,60.0,Community Health Partnerships (formerly Partnerships for Health),27.4,North Tyneside Council,6.8,Newcastle City Council,5.8,,,,,NNT LIFT COMPANY (FUNDCo1) Limited,4934390,Level 4
175,Homes for the Future(New4Old) Project,Department of Health ,Croydon,Social Care,ENGLAND_South East,InOperation,08-10-2004,19-12-2005,08-12-2006,08-06-2010,21-07-2008,30,OFF,Data not provided,OFF,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.2,5.4,5.5,5.6,5.7,5.9,6.1,6.2,6.4,6.5,6.7,6.9,7.0,7.2,7.4,7.6,7.8,8.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,United Medical Enterprises PFI Investments Ltd,50.0,Infrastructure Intermediaries No1 Ltd now known as GCP Healthcare 1 Limited,25.0,Eldon Housing Association,25.0,,,,,,,Caring 4 Croydon Ltd (+ Caring 4 Croydon Holdings Ltd  SPV Company No. 5773944),5773905,"c/o UME PFI Investments Limited, 27 Harley Street, London W1G 9QP"
176,Miles Platting HRA,Department for Communities and Local Government,Manchester,Housing (HRA),ENGLAND_North West,InOperation,01-05-2002,01-01-2006,22-03-2007,01-08-2011,26-03-2007,31,ON,Data not provided,OFF,84.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.5,10.7,13.0,13.6,14.0,14.7,15.2,15.8,17.2,15.8,16.1,16.5,17.1,17.5,18.0,18.5,19.2,19.7,20.3,20.8,21.5,21.9,22.6,23.2,23.9,24.5,25.3,26.0,26.9,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Renaissance Miles Platting Holdings,100.0,,,,,,,,,,,Renaissance Miles Platting Limited,5598459,3rd Floor
177,Ashford Stanhope,Department for Communities and Local Government,Ashford,Housing (HRA),ENGLAND_South East,InOperation,01-07-2005,30-06-2006,16-04-2007,31-05-2010,17-04-2007,30,ON,OFF,OFF,68.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.6,3.5,4.0,4.0,3.9,4.1,4.2,4.2,4.1,4.2,4.2,4.3,4.3,4.3,4.4,4.4,4.5,4.5,4.6,4.7,4.7,4.8,4.8,4.9,4.9,5.0,5.0,5.1,5.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIF Infrastructure Fund III,100.0,,,,,,,,,,,Chrysalis (Stanhope) Limited,5968439,"8 White Oak Square, London Road, Swanley, Kent, BR8 7AG"
